file,cer,wer
DSC_0127,10.40,36.90
DSC_0128,28.79,52.78
DSC_0129,4.84,21.05
DSC_0130,28.69,57.49
DSC_0131,75.89,97.37
DSC_0132,10.03,37.93
DSC_0133,9.16,37.50
DSC_0134,9.78,37.89
DSC_0135,11.18,37.27
DSC_0136,8.75,32.09
DSC_0137,58.75,77.51
DSC_0138,37.38,60.90
DSC_0139,11.31,42.39
DSC_0140,8.78,31.11
DSC_0141,12.36,41.52
DSC_0142,49.20,66.10
DSC_0143,26.85,58.33
DSC_0144,18.93,47.06
DSC_0145,25.80,49.74
DSC_0146,7.24,28.42
DSC_0148,7.53,30.73
DSC_0150,8.73,37.23
DSC_0152,11.69,34.65
DSC_0153,27.90,51.31
