HTRFlow Evaluation Results
==================================================

Average CER: 21.25%
Average WER: 46.05%
Files evaluated: 24/24

Individual Results:
--------------------------------------------------
DSC_0127: CER=10.40%, WER=36.90%
DSC_0128: CER=28.79%, WER=52.78%
DSC_0129: CER=4.84%, WER=21.05%
DSC_0130: CER=28.69%, WER=57.49%
DSC_0131: CER=75.89%, WER=97.37%
DSC_0132: CER=10.03%, WER=37.93%
DSC_0133: CER=9.16%, WER=37.50%
DSC_0134: CER=9.78%, WER=37.89%
DSC_0135: CER=11.18%, WER=37.27%
DSC_0136: CER=8.75%, WER=32.09%
DSC_0137: CER=58.75%, WER=77.51%
DSC_0138: CER=37.38%, WER=60.90%
DSC_0139: CER=11.31%, WER=42.39%
DSC_0140: CER=8.78%, WER=31.11%
DSC_0141: CER=12.36%, WER=41.52%
DSC_0142: CER=49.20%, WER=66.10%
DSC_0143: CER=26.85%, WER=58.33%
DSC_0144: CER=18.93%, WER=47.06%
DSC_0145: CER=25.80%, WER=49.74%
DSC_0146: CER=7.24%, WER=28.42%
DSC_0148: CER=7.53%, WER=30.73%
DSC_0150: CER=8.73%, WER=37.23%
DSC_0152: CER=11.69%, WER=34.65%
DSC_0153: CER=27.90%, WER=51.31%
